,page,link,title,Article,parsed_link,Summary
1366,1366,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/eWFC.html,e-WFC Wireless,"This configuration setting adds a wireless profile for e-WFC Wireless. Action Select one of the following actions: Configure Wireless Settings: Configure WiFi settings for e-WFC Wireless. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Name Enter a name for your e-WFC Wireless settings. Network Name (SSID) Enter the Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Authentication Select the authentication method. Encryption Select the encryption method. WEP Key Enter the WEP key, if the encryption method is set to WEP 64 or WEP 128 . Select the User Defined option to allow the user to enter or change this information. Key Index Select the key index from the list, if applicable.(This list is available only if the encryption method is set to WEP 64 or WEP 128 .) The key is automatically provided Select this option if the network key for clients is automatically provided.(This option is available if the encryption method is set to WEP 64 or WEP 128 .) Use 802.1x authentication Select this option to use IEEE 802.1x for authentication.(This option is available only for WEP authentication.) EAP Select the Extensible Authentication Protocol (EAP) type associated with the profile, if the authentication method is WPA - Enterprise or WPA2 - Enterprise . PSK Enter the pre-shared key (PSK) associated with the profile, if the authentication method is WPA - Personal or WPA2 - Personal . Identity Enter the EAP-mode identity. Select the User Defined option to allow the user to enter or change this information. Password Enter the EAP-mode password. Select the User Defined option to allow the user to enter or change this information. Show Network Key Select this option to display the network key in plaintext. Anonymous ID Enter the EAP-mode anonymous ID. Select the User Defined option to allow the user to enter or change this information. Certificate Enter the name of the Personal Certificate. The Personal Certificate is used with EAP-TLS. Validate Server Certificate Select this option to enable server certificate validation. Connects To Select the destination network the device will connect to: Internet or Work . This is a hidden network Select this option if the network is hidden. Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. Parent topic: © 2019 Email: Action Select one of the following actions: Configure Wireless Settings: Configure WiFi settings for e-WFC Wireless. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Name Enter a name for your e-WFC Wireless settings. Network Name (SSID) Enter the Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Authentication Select the authentication method. Encryption Select the encryption method. WEP Key Enter the WEP key, if the encryption method is set to WEP 64 or WEP 128 . Select the User Defined option to allow the user to enter or change this information. Key Index Select the key index from the list, if applicable.(This list is available only if the encryption method is set to WEP 64 or WEP 128 .) The key is automatically provided Select this option if the network key for clients is automatically provided.(This option is available if the encryption method is set to WEP 64 or WEP 128 .) Use 802.1x authentication Select this option to use IEEE 802.1x for authentication.(This option is available only for WEP authentication.) EAP Select the Extensible Authentication Protocol (EAP) type associated with the profile, if the authentication method is WPA - Enterprise or WPA2 - Enterprise . PSK Enter the pre-shared key (PSK) associated with the profile, if the authentication method is WPA - Personal or WPA2 - Personal . Identity Enter the EAP-mode identity. Select the User Defined option to allow the user to enter or change this information. Password Enter the EAP-mode password. Select the User Defined option to allow the user to enter or change this information. Show Network Key Select this option to display the network key in plaintext. Anonymous ID Enter the EAP-mode anonymous ID. Select the User Defined option to allow the user to enter or change this information. Certificate Enter the name of the Personal Certificate. The Personal Certificate is used with EAP-TLS. Validate Server Certificate Select this option to enable server certificate validation. Connects To Select the destination network the device will connect to: Internet or Work . This is a hidden network Select this option if the network is hidden. Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. © 2019 Email:",mcstage reference dialogs Windows eWFC,e-WFC Wireless mcstage reference dialogs Windows eWFC
1367,1367,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/Devicescape.html,Devicescape Wireless,"This configuration setting adds a wireless profile for Devicescape Wireless. Action Select one of the following actions: Configure Wireless Settings: Configure WiFi settings for Devicescape Wireless. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Name Enter a name for your Devicescape Wireless settings. SSID Enter your Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Auth. Mode Select the authentication method for your network. Encryption Select the encryption method according to the authentication method setting. WEP Auth. Select the WEP authentication mode: Open or Shared . Key Length Select the length of the WEP key: 64 bit or 128 bit . Key Type Select the WEP key type: ASCII or Hexadecimal Keys . EAP Select the Extensible Authentication Protocol (EAP) type associated with the profile, if the authentication method is 802.1X , WPA - Enterprise , WPA2 - Enterprise , or CCKM-WPA2 . PSK Enter the pre-shared key (PSK) associated with the profile, if the authentication method is WPA - Personal or WPA2 - Personal . Select the User Defined option to allow the user to enter or change this information. User Enter the EAP-mode user name. Select the User Defined option to allow the user to enter or change this information. Password Enter the user EAP-mode password. Select the User Defined option to allow the user to enter or change this information. Anony Id Enter the EAP-mode anonymous ID. Select the User Defined option to allow the user to enter or change this information. Client Cert. Enter the name of the digital certificate located on the device. The digital certificate is used with EAP-TLS. Select the User Defined option to allow the user to enter or change this information. Tunnel PAC Enter the full pathname of the Protected Access Credential (PAC) file on the device. Tunnel PAC is used with EAP-FAST to authenticate the user. This field is available when the authentication method is 802.1X , WPA - Enterprise , WPA2 - Enterprise , or CCKM-WPA2 , and the EAP type is FAST-MSCHAPv2 . Select the User Defined option to allow the user to enter or change this information. Mach. PAC Enter the full pathname of the Protected Access Credential (PAC) file on the device. Machine PAC is used with EAP-FAST to authenticate the device. This field is available when the authentication method is 802.1X , WPA - Enterprise , WPA2 - Enterprise , or CCKM-WPA2 , and the EAP type is FAST-MSCHAPv2 . Select the User Defined option to allow the user to enter or change this information. Provisioning Select the PAC provisioning mode, if the EAP type is set to FAST-MSCHAPv2 . Verify Server Certificate Select this option to enable server certificate verification. Enable OPMK Select this option to enable Opportunistic Pairwise Master Key caching, if the authentication method is WPA2 - Enterprise . Connects To Select the destination network the device will connect to: Internet or Work . Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. Parent topic: © 2019 Email: Action Select one of the following actions: Configure Wireless Settings: Configure WiFi settings for Devicescape Wireless. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Name Enter a name for your Devicescape Wireless settings. SSID Enter your Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Auth. Mode Select the authentication method for your network. Encryption Select the encryption method according to the authentication method setting. WEP Auth. Select the WEP authentication mode: Open or Shared . Key Length Select the length of the WEP key: 64 bit or 128 bit . Key Type Select the WEP key type: ASCII or Hexadecimal Keys . EAP Select the Extensible Authentication Protocol (EAP) type associated with the profile, if the authentication method is 802.1X , WPA - Enterprise , WPA2 - Enterprise , or CCKM-WPA2 . PSK Enter the pre-shared key (PSK) associated with the profile, if the authentication method is WPA - Personal or WPA2 - Personal . Select the User Defined option to allow the user to enter or change this information. User Enter the EAP-mode user name. Select the User Defined option to allow the user to enter or change this information. Password Enter the user EAP-mode password. Select the User Defined option to allow the user to enter or change this information. Anony Id Enter the EAP-mode anonymous ID. Select the User Defined option to allow the user to enter or change this information. Client Cert. Enter the name of the digital certificate located on the device. The digital certificate is used with EAP-TLS. Select the User Defined option to allow the user to enter or change this information. Tunnel PAC Enter the full pathname of the Protected Access Credential (PAC) file on the device. Tunnel PAC is used with EAP-FAST to authenticate the user. This field is available when the authentication method is 802.1X , WPA - Enterprise , WPA2 - Enterprise , or CCKM-WPA2 , and the EAP type is FAST-MSCHAPv2 . Select the User Defined option to allow the user to enter or change this information. Mach. PAC Enter the full pathname of the Protected Access Credential (PAC) file on the device. Machine PAC is used with EAP-FAST to authenticate the device. This field is available when the authentication method is 802.1X , WPA - Enterprise , WPA2 - Enterprise , or CCKM-WPA2 , and the EAP type is FAST-MSCHAPv2 . Select the User Defined option to allow the user to enter or change this information. Provisioning Select the PAC provisioning mode, if the EAP type is set to FAST-MSCHAPv2 . Verify Server Certificate Select this option to enable server certificate verification. Enable OPMK Select this option to enable Opportunistic Pairwise Master Key caching, if the authentication method is WPA2 - Enterprise . Connects To Select the destination network the device will connect to: Internet or Work . Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. © 2019 Email:",mcstage reference dialogs Windows Devicescape,Devicescape Wireless mcstage reference dialogs Windows Devicescape
1368,1368,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/Intermec.html,Intermec Wireless,"This configuration setting adds a wireless profile for Intermec Wireless. Action Select one of the following actions: Configure Funk Security: Configure Funk Security for Intermec Wireless. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Configure other radio settings for Intermec Wireless. Name Enter a name for your Intermec Wireless settings. Profile Select which profile you want to configure. Profile Label Enter a name for the selected profile. Select the User Defined option to allow the user to enter or change this information. Network Type Select the type of network this profile will connect to: Ad-Hoc or Infrastructure . Channel Select the channel number that the radio should work with based on your country's regulatory requirements. This list is available only if Network Type is set to Ad-Hoc . SSID Enter your Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Power Mode Select the power consumption mode: Disabled (CAM): Constantly awake mode Enabled (Fast-PSP): Fast power saving mode 802.1x Select the authentication method associated with the profile. Association Select the type of association to be used. Encryption Select the method of encryption to be used. Pre-Shared Key Enter the pre-shared key associated with the profile, if the Association type is set to WPA or WPA2 . Show Network Key Select this option to display the network key in plaintext. Enable mixed cell Select this option to enable mixed cell. Allow fast roaming (CCKM) Select this option to enable fast roaming (CCKM). Enable Logging Select this option to enable logging. Connects To Select the destination network the device will connect to: Internet or Work . Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. Configure Other Radio Settings Radio Bands Select the radio band. Parent topic: © 2019 Email: Action Select one of the following actions: Configure Funk Security: Configure Funk Security for Intermec Wireless. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Configure other radio settings for Intermec Wireless. Name Enter a name for your Intermec Wireless settings. Profile Select which profile you want to configure. Profile Label Enter a name for the selected profile. Select the User Defined option to allow the user to enter or change this information. Network Type Select the type of network this profile will connect to: Ad-Hoc or Infrastructure . Channel Select the channel number that the radio should work with based on your country's regulatory requirements. This list is available only if Network Type is set to Ad-Hoc . SSID Enter your Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Power Mode Select the power consumption mode: Disabled (CAM): Constantly awake mode Enabled (Fast-PSP): Fast power saving mode 802.1x Select the authentication method associated with the profile. Association Select the type of association to be used. Encryption Select the method of encryption to be used. Pre-Shared Key Enter the pre-shared key associated with the profile, if the Association type is set to WPA or WPA2 . Show Network Key Select this option to display the network key in plaintext. Enable mixed cell Select this option to enable mixed cell. Allow fast roaming (CCKM) Select this option to enable fast roaming (CCKM). Enable Logging Select this option to enable logging. Connects To Select the destination network the device will connect to: Internet or Work . Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. Radio Bands Select the radio band. © 2019 Email:",mcstage reference dialogs Windows Intermec,Intermec Wireless mcstage reference dialogs Windows Intermec
1369,1369,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/Denso.html,Denso BHT WLAN,"This configuration setting adds a wireless profile for Denso BHT WLAN. Action Select one of the following actions: Configure Wireless Settings: Configure WiFi settings for Denso BHT WLAN. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Name Enter a name for your Denso BHT WLAN settings. SSID Enter your Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Advanced Click the Advanced button to open the dialog box, in which you can enter advanced Denso BHT WLAN settings. Authentication Select the authentication method for your network. Encryption Select the encryption method for your network. EAP Type Select your Extensible Authentication Protocol (EAP) method. User ID Enter the EAP-mode user ID. Select the User Defined option to allow the user to enter or change this information. Password Enter the user EAP-mode password. Select the User Defined option to allow the user to enter or change this information. PSK Enter the pre-shared key (PSK) associated with the profile, if the authentication method is WPA-PSK or WPA2-PSK . Select the User Defined option to allow the user to enter or change this information. Show Network Key Select this option to display the network key in plaintext. Validate Server Select this option to enable EAP-mode server certificate verification. Connects To Select the destination network the device will connect to: Internet or Work . Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. Advanced This dialog box enables you to enter advanced Denso BHT WLAN settings. Power Save Select the power consumption mode: CAM: Constantly awake mode FastPSP: Fast power saving mode MaxPSP: Maximum power saving mode Radio Mode Select the WLAN standards to be used: 802.11b, 802.11g, or 802.11n. Preamble Select the preamble mode. 2.4GHz Roaming Level (dBm) Enter a dBm value. 5GHz Roaming Level (dBm) Enter a dBm value. Roaming Beacon Lost Enter a roaming beacon lost number from 1 to 10. WMM Support Select whether to enable of disable WMM support. Available 5GHz Band Select what 5Ghz band to use. Parent topic: © 2019 Email: Action Select one of the following actions: Configure Wireless Settings: Configure WiFi settings for Denso BHT WLAN. Turn on radio: Turn on the WiFi radio. Turn off radio: Turn off the WiFi radio. Name Enter a name for your Denso BHT WLAN settings. SSID Enter your Service Set Identifier (SSID) to which the radio will connect. Select the User Defined option to allow the user to enter or change this information. Advanced Click the Advanced button to open the dialog box, in which you can enter advanced Denso BHT WLAN settings. Authentication Select the authentication method for your network. Encryption Select the encryption method for your network. EAP Type Select your Extensible Authentication Protocol (EAP) method. User ID Enter the EAP-mode user ID. Select the User Defined option to allow the user to enter or change this information. Password Enter the user EAP-mode password. Select the User Defined option to allow the user to enter or change this information. PSK Enter the pre-shared key (PSK) associated with the profile, if the authentication method is WPA-PSK or WPA2-PSK . Select the User Defined option to allow the user to enter or change this information. Show Network Key Select this option to display the network key in plaintext. Validate Server Select this option to enable EAP-mode server certificate verification. Connects To Select the destination network the device will connect to: Internet or Work . Turn on radio after configuration Select this option to turn on the device's WiFi radio after configuration. Power Save Select the power consumption mode: CAM: Constantly awake mode FastPSP: Fast power saving mode MaxPSP: Maximum power saving mode Radio Mode Select the WLAN standards to be used: 802.11b, 802.11g, or 802.11n. Preamble Select the preamble mode. 2.4GHz Roaming Level (dBm) Enter a dBm value. 5GHz Roaming Level (dBm) Enter a dBm value. Roaming Beacon Lost Enter a roaming beacon lost number from 1 to 10. WMM Support Select whether to enable of disable WMM support. Available 5GHz Band Select what 5Ghz band to use. © 2019 Email:",mcstage reference dialogs Windows Denso,Denso BHT WLAN mcstage reference dialogs Windows Denso
1370,1370,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/StaticIP.html,Static IP,"This configuration setting sets static IP addresses for the network adapter. Note: When entering multiple names or addresses in a field, use a semicolon ( ; ) to separate them. Name Enter a name for your static IP settings. Adapter Name(s) Enter a name for your adapter. Select the User Defined option to allow the user to enter or change this information. IPv4 Address(es) Enter the static IPv4 address for your adapter. Select the User Defined option to allow the user to enter or change this information. Subnet Mask Enter the subnet mask. Select the User Defined option to allow the user to enter or change this information. Gateway Enter the gateway's IP address. Select the User Defined option to allow the user to enter or change this information. DNS(s) Enter the Domain Name Server IP address. Select the User Defined option to allow the user to enter or change this information. Parent topic: © 2019 Email: Name Enter a name for your static IP settings. Adapter Name(s) Enter a name for your adapter. Select the User Defined option to allow the user to enter or change this information. IPv4 Address(es) Enter the static IPv4 address for your adapter. Select the User Defined option to allow the user to enter or change this information. Subnet Mask Enter the subnet mask. Select the User Defined option to allow the user to enter or change this information. Gateway Enter the gateway's IP address. Select the User Defined option to allow the user to enter or change this information. DNS(s) Enter the Domain Name Server IP address. Select the User Defined option to allow the user to enter or change this information. © 2019 Email:",mcstage reference dialogs Windows StaticIP,Static IP mcstage reference dialogs Windows StaticIP
1371,1371,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/CellularConnectionAPN.html,Cellular Connection (APN),This configuration setting adds a cellular/APN connection (for internet or work) on the device. Action Select one of the following actions: Configure Wireless Settings: Configure the settings for your cellular/APN connection. Turn on Cellular Data: Start the cellular connection without configuring any APN connection settings. Turn off Cellular Data: End the cellular connection without configuring any APN connection settings. Name Enter a name for your cellular connection (APN). APN Name Enter your Access Point Name. Select the User Defined option to allow the user to enter or change this information. Connects to Select the destination network the device will connect to: Internet or Work . User Name Enter the user name. Select the User Defined option to allow the user to enter or change this information. Password Enter the password. Select the User Defined option to allow the user to enter or change this information. Show Password Select this option to display the password in plaintext. APN URL Enter the Access Point URL/address. Select the User Defined option to allow the user to enter or change this information. Turn on Cellular Data connection after configuration Select this option to initiate the Cellular Data connection of the device after configuring APN connection settings. Parent topic: © 2019 Email: Action Select one of the following actions: Configure Wireless Settings: Configure the settings for your cellular/APN connection. Turn on Cellular Data: Start the cellular connection without configuring any APN connection settings. Turn off Cellular Data: End the cellular connection without configuring any APN connection settings. Name Enter a name for your cellular connection (APN). APN Name Enter your Access Point Name. Select the User Defined option to allow the user to enter or change this information. Connects to Select the destination network the device will connect to: Internet or Work . User Name Enter the user name. Select the User Defined option to allow the user to enter or change this information. Password Enter the password. Select the User Defined option to allow the user to enter or change this information. Show Password Select this option to display the password in plaintext. APN URL Enter the Access Point URL/address. Select the User Defined option to allow the user to enter or change this information. Turn on Cellular Data connection after configuration Select this option to initiate the Cellular Data connection of the device after configuring APN connection settings. © 2019 Email:,mcstage reference dialogs Windows CellularConnectionAPN,Cellular Connection (APN) mcstage reference dialogs Windows CellularConnectionAPN
1372,1372,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/Registry.html,Registry,This configuration setting adds a registry value to the device. Name Enter a name for your registry setting. Registry Hive Select which registry root key to target.Available options are: HKEY_CLASSES_ROOT HKEY_CURRENT_USER HKEY_LOCAL_MACHINE HKEY_USERS Key Path Enter the path to the registry key to be inserted or modified. Name Enter the name of the registry key to be inserted or modified. Type Select the data type of the registry key.Available options are: Binary DWORD String MultiString Data Enter the registry value. Select the User Defined option to allow the user to enter or change this information. Parent topic: © 2019 Email: Name Enter a name for your registry setting. Registry Hive Select which registry root key to target.Available options are: HKEY_CLASSES_ROOT HKEY_CURRENT_USER HKEY_LOCAL_MACHINE HKEY_USERS Key Path Enter the path to the registry key to be inserted or modified. Name Enter the name of the registry key to be inserted or modified. Type Select the data type of the registry key.Available options are: Binary DWORD String MultiString Data Enter the registry value. Select the User Defined option to allow the user to enter or change this information. © 2019 Email:,mcstage reference dialogs Windows Registry,Registry mcstage reference dialogs Windows Registry
1373,1373,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Windows/MobiControlScript.html,SOTI MobiControl Script,Script This configuration setting runs a SOTI MobiControl script. Name Enter a name for your SOTI MobiControl Script setting. Please enter SOTI MobiControl script or full path of the script file located on the device Enter the SOTI MobiControl script or the full path of the script file located on the device. Parent topic: © 2019 Email: Name Enter a name for your SOTI MobiControl Script setting. Please enter SOTI MobiControl script or full path of the script file located on the device Enter the SOTI MobiControl script or the full path of the script file located on the device. © 2019 Email:,mcstage reference dialogs Windows MobiControlScript,SOTI MobiControl Script mcstage reference dialogs Windows MobiControlScript
1374,1374,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/BarcodeGenerated.html,Done: Barcode Generated,"This is the final panel in the SOTI MobiControl Stage Barcode Generator. In this panel you can see a preview of the barcodes that have been generated based on the configuration profile settings you specified in the previous panels. This panel provides options to print the barcodes or to save the configuration profile to a file. You can also click the Settings button to open the dialog box, in which you can specify settings that control how the barcodes are generated, including the barcode type. Print Click this button to print the barcodes. Save As Click this button to save the barcodes in one of the following formats: Configuration Profile: Saves the configuration profile to a (.cp) file that can later be reloaded into the Barcode Generator. Raw Data: Saves the configuration profile to a raw data (.dat) file. SMS: Saves the barcodes to an SMS chunk (.txt) file. The information in this file is used when sending barcode data to the SOTI MobiControl Stage app via another application on the device. PDF: Saves the barcodes to a PDF (.pdf) file. Settings Click this button to open the Settings dialog box, in which you can modify various settings that control how the barcodes are generated.For more information, see . Left Arrow Click this button to display the previous page of barcodes, if there are multiple pages. Right Arrow Click this button to display the next page of barcodes, if there are multiple pages. Fit Page Click this button to display the whole barcode page within the Barcode Generator window. Actual Size Click this button to display the barcode page at actual size. If you select this option, scrollbars appear in the Barcode Generator window so you can scroll over the barcode page. Parent topic: © 2019 Email: Print Click this button to print the barcodes. Save As Click this button to save the barcodes in one of the following formats: Configuration Profile: Saves the configuration profile to a (.cp) file that can later be reloaded into the Barcode Generator. Raw Data: Saves the configuration profile to a raw data (.dat) file. SMS: Saves the barcodes to an SMS chunk (.txt) file. The information in this file is used when sending barcode data to the SOTI MobiControl Stage app via another application on the device. PDF: Saves the barcodes to a PDF (.pdf) file. Settings Click this button to open the Settings dialog box, in which you can modify various settings that control how the barcodes are generated.For more information, see . Left Arrow Click this button to display the previous page of barcodes, if there are multiple pages. Right Arrow Click this button to display the next page of barcodes, if there are multiple pages. Fit Page Click this button to display the whole barcode page within the Barcode Generator window. Actual Size Click this button to display the barcode page at actual size. If you select this option, scrollbars appear in the Barcode Generator window so you can scroll over the barcode page. © 2019 Email:",mcstage reference dialogs BarcodeGenerated,Done: Barcode Generated mcstage reference dialogs BarcodeGenerated
1375,1375,https://www.soti.net/mc/help/v14.0/en/mcstage/reference/dialogs/Settings.html,Settings,"This dialog box enables you to specify settings that control how the barcodes are generated, including the barcode type. Project Information Select this option to display the project information on the barcode page. Additional Settings Select this option to display information about the configuration settings on the barcode page. Page Background Select this option to display a background color on the barcode page. Barcodes Select this option to display the barcode on the barcode page. Barcode Spacing Select a value in this list to increase or decrease the spacing (in pixels) between the barcodes if you have more than one barcode on the page. Barcode Length Select a value in this list to increase or decrease the amount of data (that is, the number of characters) stored in each barcode. More information stored in each barcode will result in fewer barcodes being generated. Symbology Select an item in this list to specify the type of barcode you want to generate: Code 128: 1D or linear barcode QR Code PDF417: 2D barcode MicroPDF417: 2D barcode (derived from PDF417). (Windows Mobile/CE only.) Add Click this button to add an escape character to the list. Delete Click this button to delete the selected escape character from the list. Parent topic: © 2019 Email: Project Information Select this option to display the project information on the barcode page. Additional Settings Select this option to display information about the configuration settings on the barcode page. Page Background Select this option to display a background color on the barcode page. Barcodes Select this option to display the barcode on the barcode page. Barcode Spacing Select a value in this list to increase or decrease the spacing (in pixels) between the barcodes if you have more than one barcode on the page. Barcode Length Select a value in this list to increase or decrease the amount of data (that is, the number of characters) stored in each barcode. More information stored in each barcode will result in fewer barcodes being generated. Symbology Select an item in this list to specify the type of barcode you want to generate: Code 128: 1D or linear barcode QR Code PDF417: 2D barcode MicroPDF417: 2D barcode (derived from PDF417). (Windows Mobile/CE only.) Add Click this button to add an escape character to the list. Delete Click this button to delete the selected escape character from the list. © 2019 Email:",mcstage reference dialogs Settings,Settings mcstage reference dialogs Settings
1376,1376,https://www.soti.net/mc/help/v14.0/en/cloudlink/cloudlinkindex.html,Configuring Cloud Link,This section provides information about how to set up and configure the SOTI MobiControl Cloud Link agent for your deployment. © 2019 Email: © 2019 Email:,cloudlink cloudlinkindex,Configuring Cloud Link cloudlink cloudlinkindex
1377,1377,https://www.soti.net/mc/help/v14.0/en/cloudlink/start/intro.html,Introduction to SOTI MobiControl Cloud Link,"SOTI MobiControl Cloud Link SOTI MobiControl Cloud offers a flexible, scalable, and highly available Enterprise Mobility Management (EMM) solution ideal for customers looking to reduce their investment in IT infrastructure and maintenance. This Software as a Service (SaaS) provides the same feature set available in an on-premises deployment of SOTI MobiControl , which often leverages other on-premises enterprise services such as directory services, and certificate authorities. In most environments, enterprise services are sequestered behind a corporate firewall and are not exposed to the internet where SOTI MobiControl Cloud connections originate. Without the ability to communicate with these services SOTI MobiControl Cloud cannot provide features such as directory-authenticated device enrollment and automated certificate distribution. To overcome these limitations, SOTI MobiControl offers Cloud Link Agent, a light, on-premises component which securely extends enterprise services to SOTI MobiControl Cloud . Cloud Link Agent accepts SOTI MobiControl Cloud requests and forwards them to the respective enterprise service, and then relays the response back to SOTI MobiControl Cloud in real-time. This SOTI MobiControl Cloud Link document is a technology overview and configuration guide. It also provides insight on several advanced deployment options including communication through a reverse proxy such as a Microsoft Threat Management Gateway (TMG) and load balancing SOTI MobiControl Cloud Link communication. Note: This document does not cover the initial setup of SOTI MobiControl and assumes that you have basic knowledge and administrative access to all involved systems and firewalls. Parent topic: © 2019 Email: © 2019 Email:",cloudlink start intro,Introduction to SOTI MobiControl Cloud Link cloudlink start intro
1378,1378,https://www.soti.net/mc/help/v14.0/en/cloudlink/configure/preparing.html,Preparing Your System,"For a smooth process, you must figure out the best way to configure Cloud Link according to your organization's IT best practices and architecture. System and Communication Preparation SOTI MobiControl Cloud Link 's inbound HTTPs connection to your corporate network can communicate directly to the Cloud Link agent, or in more advanced scenarios, through a reverse proxy or load balance positioned at the edge of your network. Before configuring Cloud Link , you must: Decide whether Cloud Link will communicate directly, through a reverse proxy, or through a load balancer Learn more about Cloud Link 's , and the network requirements for each topology Prepare an on-premises server to host the Cloud Link agent that meets the minimum system requirements Assign a publicly accessible IP address that routes to the Cloud Link agent Assign a fully qualified domain name (FQDN) to the IP address Parent topic: © 2019 Email: © 2019 Email:",cloudlink configure preparing,Preparing Your System cloudlink configure preparing
1379,1379,https://www.soti.net/mc/help/v14.0/en/cloudlink/configure/system_requirements.html,System Requirements,Your system must meet the following minimum requirements to host the SOTI MobiControl Cloud Link Agent: Operating System Windows Server 2012 R2 Memory (RAM) 2 GB Processor Speed 2 GHz single core Disk Space 15 GB Parent topic: © 2019 Email: Operating System Windows Server 2012 R2 Memory (RAM) 2 GB Processor Speed 2 GHz single core Disk Space 15 GB © 2019 Email:,cloudlink configure system requirements,System Requirements cloudlink configure system requirements
1380,1380,https://www.soti.net/mc/help/v14.0/en/cloudlink/configure/certificate_validation.html,Understanding Certificate Validation,"Cloud Link communication is protected by mutually authenticated HTTPs sessions. SOTI MobiControl provides a Client Certificate for authenticating to the Cloud Link agent, which can be validated by the Cloud Link agent or a reverse proxy. Given the flexible deployment options for Cloud Link , a Server Certificate for the Cloud Link agent is not provided and must be purchased or issued by your corporate infrastructure. Purchase or issue a Server Certificate for the Cloud Link agent with a Common Name matching the FQDN with which SOTI MobiControl Cloud will communicate. Decide whether to issue your own Client Certificate or use the one provided by SOTI MobiControl Cloud . Ensure you have the Root Certificate on hand for any Certificate Authority you use to issue certificates. Request an Intermediate Certificate from SOTI MobiControl technical support to complete the certificate trust chain between the Cloud Link Agent and the SOTI MobiControl Cloud server. Include both the SOTI MobiControl Root certificate and the Intermediate certificate on the SOTI MobiControl Cloud Link Agent Server. Parent topic: © 2019 Email: © 2019 Email:",cloudlink configure certificate validation,Understanding Certificate Validation cloudlink configure certificate validation
1381,1381,https://www.soti.net/mc/help/v14.0/en/cloudlink/configure/deployments.html,Choosing a Deployment Topology,"SOTI MobiControl Cloud forms a mutually authenticated and encrypted connection to the Cloud Link Agent to make requests to enterprises services behind the corporate firewall. The inbound nature of this connection provides communication transparency and multiple deployment options to achieve scalability, high availability and security. This section describes the different deployment topologies to extend enterprise resources to SOTI MobiControl while using Cloud Link . Parent topic: © 2019 Email: © 2019 Email:",cloudlink configure deployments,Choosing a Deployment Topology cloudlink configure deployments
1382,1382,https://www.soti.net/mc/help/v14.0/en/cloudlink/configure/standard_deployment.html,Standard Cloud Link Deployment,"Cloud Link Deployment In a standard Cloud Link deployment, SOTI MobiControl Cloud and the Cloud Link Agent communicate directly to extend enterprise resources required by SOTI MobiControl Cloud . The following diagram illustrates the standard deployment topology, which suggests that the Cloud Link Agent be positioned within the DMZ of your network. Network Requirements The ""Standard Cloud Link Deployment Communication Matrix"" table represents the communication requirements between the SOTI MobiControl Cloud and the Cloud Link Agent, and between the Cloud Link Agent and enterprise services available to SOTI MobiControl Cloud . Bold text indicates mandatory communication. CLA = Cloud Link Agent Protocol Source Port Destination Port HTTPs SOTI MobiControl Cloud 443 CLA Host 443 LDAPs CLA Host 636 AD 636 HTTPs CLA Host 443 ADCS 443 DCOM CLA Host 135 ADCS 135 Parent topic: © 2019 Email: HTTPs SOTI MobiControl Cloud 443 CLA Host 443 LDAPs CLA Host 636 AD 636 HTTPs CLA Host 443 ADCS 443 DCOM CLA Host 135 ADCS 135 © 2019 Email:",cloudlink configure standard deployment,Standard Cloud Link Deployment cloudlink configure standard deployment
